,Corn..China,Wheat..China,Japonica.Rice..China,Pork..China,Beef..China,Mutton..China,Cotton..China,Soybean..China,Soybean.Meal..China,Soybean.Oil..China,Rapeseed.Meal..China,Rapeseed.Oil..China,Palm.Oil..China,Pure.Benzene..China,Toluene..China,O.Xylene..China,Styrene..China,Butadiene..China,P.Xylene..China,PTA..China,Epoxy.Ethane..China,Propylene..China,Polystyrene..China,Natural.Rubber..China,PP..China,Causticsoda..China,Potassic.Fertilizers..China,Xylene..China,Glycol..China,Acrylamide..China
"Rapeseed Meal, China",0.016228822,0.007044635,0.007351704,0.001119363,0.004825295,0.003226037,0.007771548,0.006676956,0.207647477,0.055819869,0.404619138,0.056574095,0.026708769,0.003063125,0.003918337,0.000289234,0.001706017,0.000870924,0.000634677,0.006805571,0.000542362,0.001968386,0.004082505,0.008123969,0.004625085,3.75E-05,0.000364872,0.005513849,0.004799165,0.002213206
"Rapeseed Oil, China",0.006891578,0.008346981,0.006353177,0.000613655,0.002125607,0.000578164,0.007799397,0.002804728,0.031217966,0.159075356,0.042024957,0.300563393,0.115351789,0.00529049,0.007347098,0.001003418,0.008420527,0.00083835,0.001790007,0.012256872,0.001072401,0.005631821,0.00579557,0.016395928,0.00693256,3.85E-06,2.59E-06,0.009578459,0.011001636,0.003124347
"Palm Oil, China",0.004734626,0.004845592,0.004645729,7.23E-05,0.001471856,0.001200648,0.007472318,0.001580367,0.017668821,0.177741779,0.019714078,0.114596208,0.298602351,0.006610559,0.010774949,0.000225151,0.008421695,0.000210712,0.00242692,0.013872336,0.000690819,0.006649407,0.005164602,0.017422264,0.005340558,6.09E-05,0.000238339,0.010939557,0.013596944,0.001660582
"Pure Benzene, China",0.005415704,0.005765437,0.006551482,2.53E-05,0.002188084,0.001060444,0.016778384,0.000664348,0.0007964,0.008247702,0.002055657,0.004795931,0.006014756,0.270928671,0.078265636,0.008167872,0.074379609,0.006671922,0.014448378,0.030781294,0.010188832,0.016088849,0.051619725,0.011156053,0.021741265,3.31E-05,0.001956569,0.067829531,0.040390587,0.004458033
"Toluene, China",0.007389833,0.008906412,0.006244182,1.00E-04,0.001434373,0.000895929,0.019720823,0.00246913,0.001555486,0.009174407,0.002312783,0.005851058,0.00862054,0.068884988,0.238462512,0.010504613,0.037688801,0.004591917,0.01662064,0.027388622,0.005661948,0.014194643,0.022513057,0.011153799,0.013816183,0.000886866,0.000450011,0.141877035,0.035316762,0.005874729
"O-Xylene, China",0.01007276,0.010110178,0.012994541,0.000106928,0.002536869,0.003560869,0.012839613,0.009705688,0.001447404,0.001490715,0.000402973,0.001881997,0.000424599,0.016994812,0.024832898,0.563732764,0.011746776,0.007931447,0.010016495,0.005941437,0.006336712,0.008517085,0.019198491,0.001521622,0.0097881,0.000700102,0.003047767,0.021546459,0.018577305,0.005189877
"Styrene, China",0.007257249,0.005582925,0.007281249,8.00E-06,0.001823058,0.001205668,0.013111095,0.002022096,0.001160921,0.010576756,0.001266143,0.008410878,0.008462424,0.082304098,0.047373626,0.006248214,0.299856774,0.003571798,0.006178203,0.028635926,0.005134031,0.006861595,0.065847947,0.01689383,0.012072918,2.44E-06,0.001679796,0.042764828,0.053807504,0.002088672
"Butadiene, China",0.009331948,0.008693419,0.007359979,0.000955392,0.002166792,2.67E-05,0.010546623,0.000593028,0.001112664,0.003734884,0.00153512,0.001989287,0.000502776,0.017519358,0.013697736,0.010034307,0.008478662,0.713194859,0.000360292,0.008867928,0.005809527,0.005649898,0.019690196,0.005030068,0.002413743,2.12E-05,0.00407074,0.007160853,0.003043862,0.000111469
"P-Xylene, China",0.003612918,0.002579037,0.000838431,0.000718671,0.000794952,0.000297884,0.020372776,0.002079749,0.00162767,0.003514105,0.000781895,0.002969998,0.00422548,0.020919174,0.028230208,0.006374653,0.01028826,0.0002656,0.358750765,0.063540898,0.003943687,0.010262703,0.017239872,0.007142304,0.011016392,0.000677246,0.003017399,0.03061734,0.015453757,0.00233478
"PTA, China",0.004950402,0.007034608,0.003295614,2.67E-05,0.0014697,0.000693809,0.016144697,0.002963226,0.004933262,0.01636398,0.005000009,0.012128031,0.013809278,0.033751569,0.034118897,0.00313176,0.028377143,0.003703452,0.05076076,0.297148072,0.004970665,0.011668591,0.017722423,0.014526654,0.02052091,0.001245901,0.002780326,0.039906172,0.051222795,0.002134267
"Epoxy Ethane, China",0.00624217,0.015926878,0.01205257,9.03E-06,0.000536967,0.001986855,0.0229638,0.002229336,0.001530228,0.001678464,0.000851158,0.002265629,0.001469064,0.023880122,0.015072178,0.007137697,0.010870909,0.005172494,0.006987635,0.010610571,0.634990824,0.006599861,0.023215778,0.000981821,0.005172219,0.003745524,0.002346981,0.011642621,0.00854436,0.008771949
"Propylene, China",0.005734593,0.013235262,0.002332109,0.000168226,0.00111328,0.000739617,0.021116158,0.003146092,0.000799955,0.009323955,0.002046803,0.00788361,0.009369047,0.024937296,0.024984495,0.006356676,0.009616399,0.003333073,0.011751082,0.016516953,0.004373002,0.420738621,0.020928513,0.009393734,0.055467478,0.000104478,0.001896332,0.026289465,0.0207651,0.009710789
"Polystyrene, China",0.011696719,0.01079275,0.01006954,0.000212274,0.00163727,0.002781489,0.022010086,0.003639723,0.002971018,0.006994727,0.003330511,0.006364887,0.005709365,0.062890844,0.031163407,0.011241503,0.072487605,0.009113232,0.015855233,0.019686819,0.012068307,0.016419373,0.330088639,0.007906749,0.025019784,0.000855285,0.002840706,0.025498508,0.033883092,0.005350868
"Natural Rubber, China",0.00553315,0.008260597,0.005314212,6.68E-05,0.001946023,0.001003433,0.01587223,0.001798217,0.005636569,0.024216655,0.006970673,0.018938814,0.020257419,0.01427755,0.016221263,0.000937101,0.019554267,0.002448604,0.004785467,0.016967045,0.000536806,0.007751374,0.00831611,0.347178518,0.017553739,0.000709,0.001047362,0.019421271,0.020946638,0.001005342
"PP, China",0.008873338,0.012807433,0.003704041,1.81E-05,0.00250273,0.001395181,0.021952814,0.00773549,0.001775194,0.008742936,0.004015832,0.008103262,0.006283535,0.028163608,0.020313617,0.006099966,0.014139461,0.001189009,0.010539729,0.024261078,0.002861619,0.046315713,0.026629026,0.017763114,0.351319551,0.001544577,0.002365056,0.023336839,0.032682796,0.005634202
"Causticsoda, China",0.000123677,0.003311152,0.001712648,0.002336857,0.009065122,0.007960992,0.007853268,0.000735777,0.000522818,2.89E-05,7.16E-05,9.90E-06,0.00015736,8.41E-05,0.002869578,0.000960484,1.56E-06,2.29E-05,0.001399092,0.003235239,0.004561916,0.000192051,0.00200393,0.001579411,0.003400239,0.773396415,0.001530901,0.002079193,0.000354124,0.003955179
"Potassic Fertilizers, China",0.030489105,0.041617995,0.017811334,0.00019156,0.006228876,0.004311612,0.020363745,0.017016784,0.001157862,0.000448414,0.000548256,5.23E-06,0.000482912,0.004384966,0.001141426,0.00328699,0.003404224,0.003470204,0.004897404,0.005687325,0.002247149,0.002740261,0.005232214,0.001834146,0.004092879,0.001203469,0.607980718,0.001205939,0.001422559,0.010376878
"Xylene, China",0.008304496,0.008999746,0.005426469,1.51E-05,0.001454193,0.001188058,0.016835326,0.003104344,0.003812977,0.011730198,0.003145132,0.00736746,0.008460744,0.057699336,0.137158504,0.008812702,0.032888033,0.002325709,0.01658967,0.030963533,0.004229202,0.014437645,0.017810846,0.012908853,0.015341162,0.000621702,0.000459417,0.230588163,0.036118692,0.006003013
"Glycol, China",0.003795311,0.004359799,0.004442101,9.55E-05,0.001204247,0.001044648,0.012262057,0.002362462,0.003123212,0.016849623,0.003224631,0.009952182,0.012379068,0.040477416,0.040203344,0.008958005,0.048767145,0.00116197,0.009340873,0.046852035,0.003658873,0.013416745,0.027903291,0.016401725,0.025288436,0.000125067,0.00063618,0.042533312,0.271834535,0.00283138
"Acrylamide, China",0.019108772,0.033675999,0.020585576,0.004855826,0.007213034,0.007738016,0.02801399,0.013407684,0.000563613,0.004712882,0.002890245,0.005492658,0.002938621,0.008685205,0.013007922,0.004864555,0.003677781,8.26E-05,0.00336354,0.003792899,0.007299414,0.012195552,0.008565506,0.001530102,0.008474019,0.002702236,0.00901854,0.01374831,0.005503182,0.528395778
